Date,V,O,H,L,C,KD-FK,KD-K,KD-D,MACD-DIF,MACD-DEF,MACD-Bar,SMA-10,SMA-20,SMA-60,VWMA-10,VWMA-20,VWMA-60,STD-10,STD-20,STD-60,VIX-10,VIX-20,VIX-60,CVOL-7,CVOL-14,CVOL-28,R-V,R-O,R-H,R-L,R-C,R-KD-FK,R-KD-K,R-KD-D,R-MACD-DIF,R-MACD-DEF,R-MACD-Bar,R-SMA-10,R-SMA-20,R-SMA-60,R-VWMA-10,R-VWMA-20,R-VWMA-60,R-STD-10,R-STD-20,R-STD-60,R-VIX-10,R-VIX-20,R-VIX-60,R-CVOL-7,R-CVOL-14,R-CVOL-28
2019-09-02,8528668,13.35,13.45,13.3,13.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03,13374418,13.45,13.45,13.2,13.2,,,,,,,,,,,,,,,,,,,,,,156.8172,0.7491,0.7491,-1.1236,-1.1236,,,,,,,,,,,,,,,,,,,,,
2019-09-04,40434250,13.2,13.6,13.2,13.6,,,,,,,,,,,,,,,,,,,,,,302.3253,0.0,3.0303,0.0,3.0303,,,,,,,,,,,,,,,,,,,,,
2019-09-05,27277402,13.65,13.7,13.5,13.6,,,,,,,,,,,,,,,,,,,,,,67.4611,0.3676,0.7353,-0.7353,0.0,,,,,,,,,,,,,,,,,,,,,
2019-09-06,16088617,13.65,13.65,13.55,13.55,,,,,,,,,,,,,,,,,,,,,,58.9815,0.3676,0.3676,-0.3676,-0.3676,,,,,,,,,,,,,,,,,,,,,
2019-09-09,13483882,13.6,13.65,13.55,13.6,,,,,,,,,,,,,,,,,,,,,,83.8101,0.369,0.738,0.0,0.369,,,,,,,,,,,,,,,,,,,,,
2019-09-10,21363294,13.6,13.65,13.55,13.6,,,,,,,,,,,,,,,,,,,,,,158.4358,0.0,0.3676,-0.3676,0.0,,,,,,,,,,,,,,,,,,,,,
2019-09-11,20063333,13.6,13.7,13.55,13.7,,,,,,,,,,,,,,,,,,,,,,93.915,0.0,0.7353,-0.3676,0.7353,,,,,,,,,,,,,,,,,,,,,
2019-09-12,25967952,13.8,13.85,13.65,13.7,76.9231,58.9744,52.9915,,,,,,,,,,,,,,,,,,,129.4299,0.7299,1.0949,-0.365,0.0,,,,,,,,,,,,,,,,,,,,,
2019-09-16,23641597,13.8,13.85,13.55,13.6,61.5385,59.8291,55.2707,,,,13.55,,,13.5758,,,0.1563,,,,,,,,,91.0414,0.7299,1.0949,-1.0949,-0.7299,-20.0,1.4493,4.3011,,,,,,,,,,,,,,,,,,
2019-09-17,22155960,13.55,13.6,13.35,13.55,53.8462,57.8348,56.1254,,,,13.57,,,13.5775,,,0.1398,,,12.5922,,,,,,93.716,-0.3676,0.0,-1.8382,-0.3676,-12.5,-3.3333,1.5464,,,,0.1476,,,0.013,,,-10.5573,,,,,,,,
2019-09-18,18441204,13.6,13.65,13.5,13.55,40.0,51.8898,54.7135,,,,13.605,,,13.5943,,,0.055,,,11.7105,,,,,,83.2336,0.369,0.738,-0.369,0.0,-25.7143,-10.2791,-2.5155,,,,0.2579,,,0.1234,,,-60.6516,,,-7.0022,,,,,
2019-09-19,23352200,13.6,13.7,13.6,13.6,50.0,51.2599,53.5623,,,,13.605,,,13.6155,,,0.055,,,8.3571,,,,,,126.6306,0.369,1.107,0.369,0.369,25.0,-1.214,-2.1041,,,,0.0,,,0.1562,,,0.0,,,-28.636,,,,,
2019-09-20,43362603,13.6,13.8,13.55,13.8,90.0,64.1733,57.0993,,,,13.625,,,13.6407,,,0.0825,,,8.539,,,5.415,,,185.6896,0.0,1.4706,-0.3676,1.4706,80.0,25.192,6.6035,,,,0.147,,,0.1853,,,49.9235,,,2.1769,,,,,
2019-09-23,26236711,13.7,13.8,13.65,13.7,70.0,66.1155,60.1047,,,,13.64,,,13.6531,,,0.081,,,8.5374,,,4.2664,,,60.5054,-0.7246,0.0,-1.087,-0.7246,-22.2222,3.0266,5.2635,,,,0.1101,,,0.0906,,,-1.8539,,,-0.0191,,,-21.2121,,
2019-09-24,33743098,13.7,13.8,13.65,13.65,60.0,64.077,61.4288,,,,13.645,,,13.6604,,,0.0798,,,8.6304,,,-3.7479,,,128.6102,0.0,0.7299,-0.365,-0.365,-14.2857,-3.0832,2.203,,,,0.0367,,,0.0532,,,-1.4942,,,1.0895,,,-187.8478,,
2019-09-25,28777541,13.65,13.7,13.5,13.6,50.0,59.3847,60.7474,,,,13.645,,,13.6587,,,0.0798,,,9.3031,,,-14.2173,,,85.2842,0.0,0.3663,-1.0989,-0.3663,-16.6667,-7.323,-1.1092,,,,0.0,,,-0.0123,,,0.0,,,7.795,,,279.3406,,
2019-09-26,50905225,13.8,14.0,13.6,13.6,38.4615,52.4103,57.9684,,,,13.635,,,13.6655,,,0.0784,,,9.7496,,,6.7285,,,176.8922,1.4706,2.9412,0.0,0.0,-23.0769,-11.7444,-4.5748,,,,-0.0733,,,0.0502,,,-1.7623,,,4.7988,,,-147.326,,
2019-09-27,21617074,13.6,13.65,13.4,13.4,7.6923,37.5043,51.147,,,,13.605,,,13.6454,,,0.1039,,,12.7007,,,17.7686,,,42.4653,0.0,0.3676,-1.4706,-1.4706,-80.0,-28.441,-11.7674,,,,-0.22,,,-0.1473,,,32.6718,,,30.2694,,,164.0802,,
2019-10-01,26138304,13.4,13.65,13.4,13.65,41.6667,38.8918,47.0619,,,,13.61,13.58,,13.6399,13.6133,,0.1049,0.1332,,13.6185,,,36.3724,,,120.9151,0.0,1.8657,0.0,1.8657,441.6667,3.6995,-7.987,,,,0.0368,,,-0.0402,,,0.8957,,,7.226,,,104.7004,,
2019-10-02,8772321,13.5,13.6,13.45,13.5,16.6667,31.4834,41.8691,,,,13.605,13.5875,,13.6459,13.6157,,0.1092,0.1234,,12.9174,12.4473,,11.9904,,,33.5612,-1.0989,-0.3663,-1.4652,-1.0989,-60.0,-19.0487,-11.0341,,,,-0.0367,0.0552,,0.044,0.0178,,4.0833,-7.335,,-5.1476,,,-67.0343,,
2019-10-03,20721917,13.3,13.45,13.2,13.4,25.0,29.3223,37.6868,,,,13.59,13.5975,,13.631,13.6146,,0.1265,0.0952,,13.8046,12.8054,,23.1138,,,236.2193,-1.4815,-0.3704,-2.2222,-0.7407,50.0,-6.8644,-9.9889,,,,-0.1103,0.0736,,-0.1092,-0.0079,,15.8731,-22.8197,,6.8678,2.877,,92.7693,,
2019-10-04,11753078,13.35,13.55,13.35,13.45,31.25,29.9648,35.1128,,,,13.575,13.59,,13.6238,13.6202,,0.1339,0.1008,,14.0612,11.3945,,25.2944,,,56.7181,-0.3731,1.1194,-0.3731,0.3731,25.0,2.1914,-6.8299,,,,-0.1104,-0.0552,,-0.0529,0.0407,,5.8202,5.8136,,1.8593,-11.0179,,9.4342,,
2019-10-07,15828996,13.45,13.45,13.3,13.35,18.75,26.2266,32.1507,,,,13.53,13.5775,,13.5868,13.6129,,0.1252,0.1141,,13.2316,11.2456,,11.4628,,,134.6796,0.0,0.0,-1.1152,-0.7435,-40.0,-12.4756,-8.4359,,,,-0.3315,-0.092,,-0.2718,-0.0537,,-6.4896,13.2138,,-5.8999,-1.3072,,-54.6825,,
2019-10-08,23503479,13.35,13.5,13.3,13.35,18.75,23.7344,29.3453,,,,13.495,13.5675,,13.5527,13.6027,,0.1212,0.1249,,13.3525,11.2568,,-14.5414,,,148.4837,0.0,1.1236,-0.3745,0.0,0.0,-9.5025,-8.7259,,,,-0.2587,-0.0737,,-0.2512,-0.0749,,-3.1525,9.4568,,0.9139,0.0995,,-226.8573,,
2019-10-09,38292987,13.35,13.35,13.15,13.15,0.0,15.8229,24.8378,-0.1,,,13.445,13.545,,13.4802,13.573,,0.1499,0.1555,,14.3229,11.9984,,-15.9643,,,162.9248,0.0,0.0,-1.4981,-1.4981,-100.0,-33.3333,-15.3601,,,,-0.3705,-0.1658,,-0.5346,-0.218,,23.6649,24.5151,,7.2675,6.588,,9.7851,,
2019-10-14,45103746,13.45,13.65,13.35,13.5,70.0,33.8819,27.8525,-0.0871,,,13.435,13.54,,13.4704,13.5657,,0.1415,0.1553,,19.0387,14.5958,,-6.6885,,,117.7859,2.2814,3.8023,1.5209,2.6616,inf,114.1321,12.1376,-12.9306,,,-0.0744,-0.0369,,-0.073,-0.0538,,-5.5954,-0.1634,,32.9248,21.6486,,-58.1035,,
2019-10-15,48290101,13.5,13.8,13.5,13.7,84.6154,50.7931,35.4994,-0.06,,,13.445,13.54,,13.4632,13.5718,,0.1571,0.1553,,19.8434,15.2209,,11.5597,18.5554,,107.0645,0.0,2.2222,0.0,1.4815,20.8791,49.912,27.4548,-31.0947,,,0.0744,0.0,,-0.0531,0.0445,,11.041,0.0,,4.2265,4.2824,,-272.8303,,
2019-10-16,31033160,13.8,13.8,13.6,13.75,92.3077,64.6313,45.21,-0.0341,,,13.48,13.5425,,13.4939,13.5732,,0.1829,0.1583,,17.4901,15.1899,,2.8678,20.1347,,64.264,0.7299,0.7299,-0.7299,0.365,9.0909,27.2443,27.3544,-43.142,,,0.2603,0.0185,,0.2283,0.0103,,16.3757,1.9863,,-11.8592,-0.2038,,-75.1913,8.5114,
2019-10-17,17379780,13.75,13.8,13.65,13.8,100.0,76.4209,55.6136,-0.0095,,,13.495,13.5525,,13.5027,13.5759,,0.2034,0.1682,,17.0496,15.0816,,-3.46,17.9244,,56.0039,0.0,0.3636,-0.7273,0.3636,8.3333,18.2413,23.0117,-72.2772,,,0.1113,0.0738,,0.0653,0.02,,11.2075,6.2097,,-2.5187,-0.7128,,-220.6498,-10.9775,
2019-10-18,46084099,13.7,14.0,13.7,13.95,94.1176,82.3198,64.5157,0.0219,,,13.54,13.5725,,13.5654,13.6046,,0.2492,0.1902,,17.0858,14.912,,15.6851,22.5588,,265.1593,-0.7246,1.4493,-0.7246,1.087,-5.8824,7.719,16.007,-331.906,,,0.3335,0.1476,,0.4642,0.2118,,22.543,13.0988,,0.2122,-1.1246,,-553.3225,25.8553,
2019-10-21,12903818,13.95,14.0,13.9,13.9,88.2353,84.2916,71.1077,0.0423,,,13.59,13.59,,13.5961,13.6134,,0.2675,0.2037,,15.3471,14.8898,,-0.5746,-1.8359,,28.0006,0.0,0.3584,-0.3584,-0.3584,-6.25,2.3953,10.2176,92.8091,,,0.3693,0.1289,,0.2258,0.0641,,7.3339,7.0696,,-10.1761,-0.1487,,-103.6635,-108.1382,
2019-10-22,23631388,14.1,14.15,13.9,14.0,85.0,84.5277,75.581,0.0657,,,13.645,13.61,,13.6352,13.6298,,0.291,0.2234,,15.3367,14.9472,,5.7717,-1.5554,,183.1349,1.4388,1.7986,0.0,0.7194,-3.6667,0.2801,6.291,55.4344,,,0.4047,0.1472,,0.2876,0.1206,,8.7942,9.6834,,-0.068,0.3857,,-1104.4353,-15.2776,
2019-10-23,26012736,14.05,14.05,13.95,14.05,90.0,86.3518,79.1713,0.0873,-0.0082,0.0955,13.715,13.6225,,13.682,13.6403,,0.2963,0.2409,,14.3662,14.739,,-18.255,-10.314,,110.0771,0.3571,0.3571,-0.3571,0.3571,5.8824,2.158,4.7502,32.8697,,,0.513,0.0918,,0.3433,0.0773,,1.8201,7.8352,,-6.3277,-1.3935,,-416.2832,563.1088,
2019-10-24,119513828,14.1,14.8,14.05,14.55,82.7586,85.1541,81.1656,0.1432,0.0221,0.1211,13.835,13.665,,13.9442,13.8011,,0.3667,0.3179,,19.4697,18.2594,,33.3383,28.2548,,459.4435,0.3559,5.3381,0.0,3.5587,-8.046,-1.387,2.5189,63.9055,-371.1907,26.7597,0.875,0.312,,1.9164,1.1785,,23.7529,31.9904,,35.5243,23.8851,,-282.6253,-373.945,
2019-10-25,43635327,14.4,14.55,14.3,14.4,69.2308,79.8463,80.7258,0.1733,0.0523,0.121,13.96,13.7025,,14.0596,13.8489,,0.3169,0.3578,,17.444,18.4025,,31.5523,23.9292,,36.5107,-1.0309,0.0,-1.7182,-1.0309,-16.3462,-6.2331,-0.5418,21.0497,136.7588,-0.0845,0.9035,0.2744,,0.8277,0.3468,,-13.5736,12.5403,,-10.4044,0.7839,,-5.357,-15.3092,
2019-10-28,23325010,14.45,14.5,14.15,14.25,54.1667,71.2864,77.5794,0.183,0.0785,0.1045,14.035,13.735,,14.1349,13.8758,,0.2829,0.377,,17.609,18.5609,,49.5068,30.2527,,53.4544,0.3472,0.6944,-1.7361,-1.0417,-21.7593,-10.7204,-3.8977,5.58,49.9049,-13.604,0.5372,0.2372,,0.5354,0.1939,,-10.7399,5.3675,,0.9458,0.8606,,56.9039,26.4259,
2019-10-29,63793543,14.3,14.65,14.3,14.5,73.913,72.162,75.7736,0.2084,0.1045,0.1039,14.115,13.78,,14.2434,13.9498,,0.2906,0.4121,,17.7272,18.9148,,39.0007,40.2289,,273.4985,0.3509,2.807,0.3509,1.7544,36.4548,1.2282,-2.3277,13.9004,33.115,-0.5288,0.57,0.3276,,0.7681,0.5331,,2.7393,9.3144,,0.6715,1.9065,,-21.2216,32.9762,
2019-10-30,61233781,14.7,14.7,14.35,14.4,63.6364,69.3201,73.6224,0.218,0.1272,0.0908,14.18,13.83,,14.3097,14.01,,0.272,0.4241,,18.0908,17.5163,,65.267,44.7351,,95.9874,1.3793,1.3793,-1.0345,-0.6897,-13.9037,-3.9382,-2.8389,4.5943,21.7348,-12.631,0.4605,0.3628,,0.4653,0.4317,,-6.4037,2.9018,,2.0511,-7.3937,,67.3483,11.2015,
2019-10-31,97117355,14.35,14.35,13.9,14.0,11.1111,49.9171,65.7206,0.1911,0.14,0.0511,14.2,13.8475,,14.2817,14.0303,,0.2472,0.4235,,24.4074,20.5028,,69.5876,55.1762,,158.6009,-0.3472,-0.3472,-3.4722,-2.7778,-82.5397,-27.9904,-10.7328,-12.3363,10.0541,-43.6879,0.141,0.1265,,-0.1956,0.1452,,-9.125,-0.1409,,34.9158,17.05,,6.6199,23.3398,
2019-11-01,93849456,14.15,14.55,14.1,14.5,66.6667,55.5003,62.3139,0.2077,0.1535,0.0542,14.255,13.8975,,14.3338,14.078,,0.2466,0.439,,26.6078,21.7723,,107.514,54.225,,96.6351,1.0714,3.9286,0.7143,3.5714,500.0,11.1849,-5.1837,8.7076,9.6864,6.0292,0.3873,0.3611,,0.3644,0.3396,,-0.2503,3.6744,,9.0155,6.1921,,54.5015,-1.724,
2019-11-04,94378432,14.5,14.8,14.5,14.65,83.3333,64.778,63.1352,0.2304,0.1689,0.0615,14.33,13.96,,14.3887,14.1526,,0.2406,0.4532,,27.2877,21.5605,,11.2062,44.7386,,100.5636,0.0,2.069,0.0,1.0345,25.0,16.7165,1.3181,10.8963,10.0138,13.3945,0.5261,0.4497,,0.3831,0.5304,,-2.4278,3.2328,,2.5551,-0.973,,-89.577,-17.4946,
2019-11-05,53488139,14.65,14.7,14.4,14.5,66.6667,65.4075,63.8927,0.2335,0.1818,0.0517,14.38,14.0125,,14.4123,14.1815,,0.215,0.4519,,28.0717,22.0193,,12.9959,45.3626,,56.6741,0.0,0.3413,-1.7065,-1.0239,-20.0,0.9719,1.1997,1.3644,7.6541,-15.9106,0.3489,0.3761,,0.1644,0.2041,,-10.6432,-0.3031,,2.8731,2.1281,,15.9707,1.3949,
2019-11-06,52059086,14.55,14.55,14.3,14.5,66.6667,65.8272,64.5375,0.2333,0.1921,0.0412,14.425,14.07,,14.43,14.2082,,0.183,0.436,,28.3199,21.9006,,1.552,47.3458,,97.3283,0.3448,0.3448,-1.3793,0.0,0.0,0.6417,1.0093,-0.085,5.6661,-20.3072,0.3129,0.4103,,0.1226,0.1884,,-14.9025,-3.5076,,0.884,-0.5392,,-88.058,4.3718,
