Date,V,O,H,L,C,KD-FK,KD-K,KD-D,MACD-DIF,MACD-DEF,MACD-Bar,SMA-10,SMA-20,SMA-60,VWMA-10,VWMA-20,VWMA-60,STD-10,STD-20,STD-60,VIX-10,VIX-20,VIX-60,CVOL-7,CVOL-14,CVOL-28,R-V,R-O,R-H,R-L,R-C,R-KD-FK,R-KD-K,R-KD-D,R-MACD-DIF,R-MACD-DEF,R-MACD-Bar,R-SMA-10,R-SMA-20,R-SMA-60,R-VWMA-10,R-VWMA-20,R-VWMA-60,R-STD-10,R-STD-20,R-STD-60,R-VIX-10,R-VIX-20,R-VIX-60,R-CVOL-7,R-CVOL-14,R-CVOL-28
2016-04-15,783217,10.4098,10.4098,10.2115,10.2611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-18,585304,10.2611,10.3602,10.2115,10.2611,,,,,,,,,,,,,,,,,,,,,,74.7308,0.0,0.9662,-0.4831,0.0,,,,,,,,,,,,,,,,,,,,,
2016-04-19,1067102,10.3602,10.4594,10.2611,10.3107,,,,,,,,,,,,,,,,,,,,,,182.3159,0.9662,1.9324,0.0,0.4831,,,,,,,,,,,,,,,,,,,,,
2016-04-20,1147848,10.3107,10.4098,10.1124,10.1124,,,,,,,,,,,,,,,,,,,,,,107.5668,0.0,0.9615,-1.9231,-1.9231,,,,,,,,,,,,,,,,,,,,,
2016-04-21,2587250,10.2115,10.2115,9.8745,10.0133,,,,,,,,,,,,,,,,,,,,,,225.4001,0.9804,0.9804,-2.3529,-0.9804,,,,,,,,,,,,,,,,,,,,,
2016-04-22,2711173,9.9141,10.0133,9.4184,9.5969,,,,,,,,,,,,,,,,,,,,,,104.7898,-0.9901,0.0,-5.9406,-4.1584,,,,,,,,,,,,,,,,,,,,,
2016-04-25,1701242,9.4779,9.8447,9.4184,9.6167,,,,,,,,,,,,,,,,,,,,,,62.7493,-1.2397,2.5826,-1.8595,0.2066,,,,,,,,,,,,,,,,,,,,,
2016-04-26,2093397,9.6663,10.0133,9.6663,9.8943,,,,,,,,,,,,,,,,,,,,,,123.0511,0.5155,4.1237,0.5155,2.8866,,,,,,,,,,,,,,,,,,,,,
2016-04-27,754945,9.9637,9.9637,9.7555,9.7654,33.3333,44.4444,48.1481,,,,,,,,,,,,,,,,,,,36.0632,0.7014,0.7014,-1.4028,-1.3026,,,,,,,,,,,,,,,,,,,,,
2016-04-28,817122,9.815,9.8546,9.6068,9.6068,18.0952,35.6614,43.9859,,,,9.9439,,,9.9197,,,0.2876,,,,,,,,,108.236,0.5076,0.9137,-1.6244,-1.6244,-45.7143,-19.7619,-8.6447,,,,,,,,,,,,,,,,,,
2016-04-29,930408,9.6266,9.7951,9.5473,9.6365,20.9523,30.7584,39.5767,,,,9.8814,,,9.8822,,,0.2787,,,25.3106,,,,,,113.864,0.2064,1.9608,-0.6192,0.3096,15.7893,-13.7488,-10.0241,,,,-0.6281,,,-0.3785,,,-3.0836,,,,,,,,
2016-05-03,653779,9.696,9.7654,9.5969,9.5969,18.0,26.5056,35.2197,,,,9.815,,,9.8549,,,0.2565,,,25.293,,,,,,70.268,0.6173,1.3375,-0.4115,-0.4115,-14.0907,-13.8264,-11.0091,,,,-0.6722,,,-0.276,,,-7.9952,,,-0.0698,,,,,
2016-05-04,910457,9.6365,9.6861,9.4382,9.4382,2.5,18.5037,29.6477,,,,9.7277,,,9.7951,,,0.214,,,24.6009,,,,,,139.2607,0.4132,0.9298,-1.6529,-1.6529,-86.1113,-30.1894,-15.8207,,,,-0.8889,,,-0.6061,,,-16.5705,,,-2.7361,,,,,
2016-05-05,1099503,9.4482,9.4977,9.2796,9.3788,13.5135,16.8403,25.3786,,,,9.6544,,,9.7315,,,0.1921,,,24.4816,,,-23.6025,,,120.7639,0.105,0.6303,-1.6807,-0.6303,440.5455,-8.9896,-14.3995,,,,-0.7542,,,-0.6494,,,-10.2335,,,-0.4852,,,,,
2016-05-06,613750,9.4482,9.4482,9.2994,9.2994,2.7027,12.1278,20.9616,,,,9.583,,,9.6475,,,0.1758,,,24.1677,,,-32.6227,,,55.8207,0.74,0.74,-0.8457,-0.8457,-80.0002,-27.9837,-17.4042,,,,-0.7394,,,-0.8635,,,-8.4581,,,-1.2819,,,38.2169,,
2016-05-09,592493,9.3887,9.4779,9.2895,9.2895,1.3513,8.5356,16.8196,,,,9.5522,,,9.6276,,,0.1985,,,17.5896,,,-28.5328,,,96.5365,0.9595,1.919,-0.1066,-0.1066,-50.0,-29.6192,-19.7599,,,,-0.3207,,,-0.2067,,,12.9118,,,-27.2187,,,-12.5369,,
2016-05-10,775066,9.3094,9.3292,9.2003,9.2201,2.5975,6.5562,13.3985,,,,9.5126,,,9.5971,,,0.2224,,,17.8994,,,-32.8036,,,130.8144,0.2135,0.4269,-0.9605,-0.7471,92.2176,-23.1895,-20.3401,,,,-0.4152,,,-0.3167,,,12.0247,,,1.7615,,,14.9679,,
2016-05-11,981091,9.23,9.3688,9.121,9.121,0.0,4.3708,10.3893,,,,9.4353,,,9.4762,,,0.209,,,8.4762,,,-25.3797,,,126.5816,0.1075,1.6129,-1.0753,-1.0753,-100.0,-33.3333,-22.4594,,,,-0.8129,,,-1.2595,,,-6.0385,,,-52.6453,,,-22.6313,,
2016-05-12,2751823,9.1012,9.1012,8.5361,8.5361,0.0,2.9139,7.8975,,,,9.3123,,,9.2454,,,0.3234,,,25.5653,,,19.0014,,,280.486,-0.2174,-0.2174,-6.413,-6.413,,-33.3333,-23.9843,,,,-1.3029,,,-2.435,,,54.7792,,,201.6117,,,-174.8686,,
2016-05-13,3266101,8.4072,8.5658,8.1494,8.5658,25.7669,10.5316,8.7755,,,,9.2082,9.576,,9.0246,9.5215,,0.3806,0.5002,,26.3295,,,31.2649,,,118.6886,-1.5099,0.3484,-4.5296,0.3484,inf,261.4262,11.1178,,,,-1.1179,,,-2.3891,,,17.6768,,,2.9895,,,64.5397,,
2016-05-16,879810,8.4567,8.6748,8.3378,8.6054,29.6774,16.9135,11.4882,,,,9.1051,9.4933,,8.9424,9.4686,,0.3912,0.5176,,28.4731,26.6126,,36.5495,,,26.9376,-1.2731,1.2731,-2.662,0.463,15.1765,60.5984,30.9118,,,,-1.1197,-0.8645,,-0.9103,-0.5553,,2.784,3.4703,,8.1412,,,16.9029,,
