iteration,avg_price,cash_and_stock,cash,stock_value,action,position
0,0.0,1000000.0,1000000.0,0.0,0,0
1,9.9314,1000000.0,1000000.0,0.0,0,0
2,9.8819,1000000.0,1000000.0,0.0,0,0
3,9.8868,1000000.0,1000000.0,0.0,0,0
4,9.7033,1000000.0,1000000.0,0.0,0,0
5,9.6661,1000000.0,1000000.0,0.0,0,0
6,9.9339,1000000.0,1000000.0,0.0,0,0
7,9.9513,1000000.0,1000000.0,0.0,0,0
8,9.7852,1000000.0,1000000.0,0.0,0,0
9,9.7628,1000000.0,1000000.0,0.0,0,0
10,9.7033,1000000.0,1000000.0,0.0,0,0
11,9.7009,1000000.0,1000000.0,0.0,0,0
12,9.6438,1000000.0,1000000.0,0.0,0,0
13,9.5794,1000000.0,1000000.0,0.0,0,0
14,9.4876,1000000.0,1000000.0,0.0,0,0
15,9.4008,1000000.0,1000000.0,0.0,0,0
16,9.1702,1000000.0,1000000.0,0.0,0,0
17,9.3264,1000000.0,1000000.0,0.0,0,0
18,9.2545,1000000.0,1000000.0,0.0,0,0
19,9.3066,1000000.0,1000000.0,0.0,0,0
20,9.2421,1000000.0,1000000.0,0.0,0,0
21,9.1454,1000000.0,1000000.0,0.0,0,0
22,9.1231,1000000.0,1000000.0,0.0,0,0
23,9.138,1000000.0,1000000.0,0.0,0,0
24,9.1875,1000000.0,1000000.0,0.0,0,0
25,9.1479,1000000.0,1000000.0,0.0,0,0
26,9.1231,1000000.0,1000000.0,0.0,0,0
27,9.1206,1000000.0,1000000.0,0.0,0,0
28,9.1429,1000000.0,1000000.0,0.0,0,0
29,9.1479,1000000.0,1000000.0,0.0,0,0
30,8.9867,1000000.0,1000000.0,0.0,0,0
31,8.9693,1000000.0,1000000.0,0.0,0,0
32,8.9842,1000000.0,1000000.0,0.0,0,0
33,8.9743,1000000.0,1000000.0,0.0,0,0
34,8.9991,1000000.0,1000000.0,0.0,0,0
35,8.9966,1000000.0,1000000.0,0.0,0,0
36,9.0363,1000000.0,1000000.0,0.0,0,0
37,8.9048,1000000.0,1000000.0,0.0,0,0
38,8.885,1000000.0,1000000.0,0.0,0,0
39,8.8429,1000000.0,1000000.0,0.0,0,0
40,8.5874,1000000.0,1000000.0,0.0,0,0
41,8.6172,1000000.0,1000000.0,0.0,0,0
42,8.6718,1000000.0,1000000.0,0.0,0,0
43,8.6866,1000000.0,1000000.0,0.0,0,0
44,8.699,1000000.0,1000000.0,0.0,0,0
45,8.7362,1000000.0,1000000.0,0.0,0,0
46,8.6048,1000000.0,1000000.0,0.0,0,0
47,8.6371,1000000.0,1000000.0,0.0,0,0
48,8.766,1000000.0,1000000.0,0.0,0,0
49,8.8652,1000000.0,1000000.0,0.0,0,0
50,9.1032,1000000.0,1000000.0,0.0,0,0
51,9.0908,1000000.0,1000000.0,0.0,0,0
52,8.9396,1000000.0,1000000.0,0.0,0,0
53,8.9569,1000000.0,1000000.0,0.0,0,0
54,8.9644,1000000.0,1000000.0,0.0,0,0
55,8.8527,1000000.0,1000000.0,0.0,0,0
56,8.8453,1000000.0,1000000.0,0.0,0,0
57,8.7933,1000000.0,1000000.0,0.0,0,0
58,8.7759,1000000.0,1000000.0,0.0,0,0
59,8.8677,1000000.0,1000000.0,0.0,0,0
60,8.8677,1000000.0,1000000.0,0.0,0,0
61,8.7834,1000000.0,1000000.0,0.0,0,0
62,8.7957,1000000.0,1000000.0,0.0,0,0
63,8.8106,1000000.0,1000000.0,0.0,0,0
64,8.7759,1000000.0,1000000.0,0.0,0,0
65,8.6965,1000000.0,1000000.0,0.0,0,0
66,8.6742,1000000.0,1000000.0,0.0,0,0
67,8.6668,1000000.0,1000000.0,0.0,0,0
68,8.6841,1000000.0,1000000.0,0.0,0,0
69,8.5676,1000000.0,1000000.0,0.0,0,0
70,9.0437,1000000.0,1000000.0,0.0,0,0
71,9.071,1000000.0,1000000.0,0.0,0,0
72,8.9966,1000000.0,1000000.0,0.0,0,0
73,8.6098,1000000.0,1000000.0,0.0,0,0
74,8.828,999249.88,499250.36,499999.52,1,1
75,8.6444,988854.44,499250.36,489604.08,0,1
76,8.5155,981551.57,499250.36,482301.21,0,1
77,8.5403,982955.48,499250.36,483705.12,0,1
78,8.8974,1003181.1,499250.36,503930.74,0,1
79,9.0462,1011610.22,499250.36,512359.86,0,1
80,9.2719,1024389.89,499250.36,525139.53,0,1
81,9.2223,1021580.66,499250.36,522330.3,0,1
82,9.4876,1036608.56,499250.36,537358.2,0,1
83,9.4405,1033942.41,499250.36,534692.05,0,1
84,9.319,1027057.46,499250.36,527807.1,0,1
85,9.743,1051075.47,499250.36,551825.11,0,1
86,9.7158,1049531.32,499250.36,550280.96,0,1
87,9.6438,1045457.01,499250.36,546206.65,0,1
88,9.6438,1045458.43,499250.36,546208.07,0,1
89,9.7331,1050513.06,499250.36,551262.7,0,1
90,9.495,1037030.73,499250.36,537780.37,0,1
91,9.3859,1030849.85,499250.36,531599.49,0,1
92,9.4331,1033520.25,499250.36,534269.89,0,1
93,9.3314,1027761.53,499250.36,528511.17,0,1
94,9.6141,1043771.19,499250.36,544520.83,0,1
95,9.6264,1044472.43,499250.36,545222.07,0,1
96,9.505,1037593.14,499250.36,538342.78,0,1
97,9.4677,1035483.74,499250.36,536233.38,0,1
98,9.8149,1055146.95,499250.36,555896.59,0,1
99,10.0852,1070455.36,499250.36,571205.0,0,1
100,11.0101,1122841.95,499250.36,623591.59,0,1
101,11.5185,1151636.94,499250.36,652386.58,1,1
102,12.0765,1183238.33,499250.36,683987.97,1,1
103,12.5228,1208517.18,499250.36,709266.82,1,1
104,12.684,1217647.54,499250.36,718397.18,1,1
105,12.4732,1205709.36,499250.36,706459.0,1,1
106,12.6592,1216243.63,499250.36,716993.27,1,1
107,12.5476,1209922.5,499250.36,710672.14,1,1
108,13.1428,1243630.46,499250.36,744380.1,1,1
109,13.1552,1244334.54,499250.36,745084.18,1,1
110,14.0107,1292787.07,499250.36,793536.71,1,1
111,14.2339,1305429.33,499250.36,806178.97,1,1
112,14.2835,1308237.15,499250.36,808986.79,1,1
113,14.3083,1309642.47,499250.36,810392.11,1,1
114,14.1719,1301917.44,499250.36,802667.08,1,1
115,13.9735,1290681.92,499250.36,791431.56,1,1
116,13.7751,1279444.99,499250.36,780194.63,1,1
117,13.7379,1277338.42,499250.36,778088.06,1,1
118,13.9983,1292085.83,499250.36,792835.47,1,1
119,13.7131,1275931.68,499250.36,776681.32,1,1
120,13.7627,1278740.91,499250.36,779490.55,1,1
121,13.6759,1273827.94,499250.36,774577.58,1,1
122,13.9487,1289275.18,499250.36,790024.82,1,1
123,14.3702,1313151.53,499250.36,813901.17,1,1
124,14.0974,1297701.46,499250.36,798451.1,1,1
125,14.3331,1311046.38,499250.36,811796.02,1,1
126,14.209,1304021.17,499250.36,804770.81,1,1
127,14.9902,1348264.82,499250.36,849014.46,1,1
128,15.4738,1375653.07,499250.36,876402.71,1,1
129,15.6597,1386185.92,499250.36,886935.56,1,1
130,16.1185,1412170.26,499250.36,912919.9,1,1
131,16.4533,1431132.23,499250.36,931881.87,1,1
132,17.1724,1471859.73,499250.36,972609.37,1,1
133,16.7633,1448687.45,499250.36,949437.09,1,1
134,16.4284,1429724.07,499250.36,930473.71,1,1
135,15.8209,1395314.86,499250.36,896064.5,1,1
136,16.1061,1411466.18,499250.36,912215.82,1,1
137,16.2301,1418491.39,499250.36,919241.03,1,1
138,15.9573,1403039.9,499250.36,903789.54,1,1
139,15.8829,1398826.76,499250.36,899576.4,1,1
140,15.9325,1401635.99,499250.36,902385.63,1,1
141,16.2797,1421297.79,499250.36,922047.43,1,1
142,16.1309,1412872.92,499250.36,913622.56,1,1
143,16.1557,1414275.41,499250.36,915025.05,1,1
144,16.2673,1420595.12,499250.36,921344.76,1,1
145,15.9945,1405147.89,499250.36,905897.53,1,1
146,15.8581,1397422.85,499250.36,898172.49,1,1
147,15.6225,1384079.35,499250.36,884828.99,1,1
148,15.7589,1391804.38,499250.36,892554.02,1,1
149,15.5109,1377758.22,499250.36,878507.86,1,1
