iteration,avg_price,cash_and_stock,cash,stock_value,action,position
0,0.0,1000000.0,1000000.0,0.0,0,0
1,315.7828,999250.05,499365.86,499884.19,1,1
2,313.9069,996280.44,499365.86,496914.58,0,1
3,317.6587,1002219.66,499365.86,502853.8,0,1
4,330.5402,1022610.97,499365.86,523245.12,0,1
5,339.9199,1037459.02,499365.86,538093.16,0,1
6,336.7933,1032509.67,499365.86,533143.81,0,1
7,342.6712,1041814.45,499365.86,542448.59,1,1
8,344.0469,1043992.16,499365.86,544626.3,0,1
9,336.9184,1032707.64,499365.86,533341.79,0,1
10,330.0399,1021819.08,499365.86,522453.22,0,1
11,333.0414,1026570.45,499365.86,527204.6,0,1
12,332.7913,1026174.5,499365.86,526808.65,1,1
13,333.0414,1026570.45,499365.86,527204.6,1,1
14,333.0414,1026570.45,499365.86,527204.6,0,1
15,337.4186,1033499.54,499365.86,534133.68,0,1
16,335.6677,1030727.9,499365.86,531362.05,0,1
17,331.7908,1024590.71,499365.86,525224.86,0,1
18,337.5437,1033697.51,499365.86,534331.66,0,1
19,340.0449,1037656.99,499365.86,538291.14,0,1
20,332.7913,1026174.5,499365.86,526808.65,0,1
21,329.7898,1021423.13,499365.86,522057.27,0,1
22,329.4146,1020829.21,499365.86,521463.35,0,1
23,336.6682,1032311.7,499365.86,532945.84,0,1
24,339.1695,1036271.18,499365.86,536905.32,0,1
25,341.1705,1039438.76,499365.86,540072.9,0,1
26,345.7978,1046763.79,499365.86,547397.94,0,1
27,340.7953,1038844.84,499365.86,539478.98,0,1
28,334.0419,1028154.24,499365.86,528788.39,0,1
29,333.5417,1027362.35,499365.86,527996.49,0,1
30,333.7918,1027758.3,499365.86,528392.44,0,1
31,319.0344,1004397.37,499365.86,505031.51,0,1
32,320.7853,1007169.01,499365.86,507803.15,0,1
33,314.7823,997666.26,499365.86,498300.4,0,1
34,323.6618,1011722.41,499365.86,512356.55,0,1
35,327.4136,1017661.62,499365.86,518295.77,0,1
36,331.7908,1024590.71,499365.86,525224.86,0,1
37,328.2891,1019047.44,499365.86,519681.59,0,1
38,326.163,1015681.89,499365.86,516316.03,0,1
39,331.5407,1024194.76,499365.86,524828.91,0,1
40,334.9174,1029540.06,499365.86,530174.2,0,1
41,335.9179,1031123.85,499365.86,531758.0,0,1
42,335.5427,1030529.93,499365.86,531164.07,0,1
43,331.7908,1024590.71,499365.86,525224.86,0,1
44,323.2866,1011128.49,499365.86,511762.63,0,1
45,325.6627,1014889.99,499365.86,515524.13,0,1
46,326.4131,1016077.83,499365.86,516711.98,0,1
47,325.0374,1013900.12,499365.86,514534.26,0,1
48,320.4101,1006575.08,499365.86,507209.23,0,1
49,321.4106,1008158.88,499365.86,508793.02,0,1
50,318.6592,1003803.45,499365.86,504437.59,0,1
51,316.9084,1001031.81,499365.86,501665.96,0,1
52,311.9059,993112.86,499365.86,493747.0,0,1
53,317.9089,1002615.61,499365.86,503249.75,0,1
54,320.16,1006179.14,499365.86,506813.28,0,1
55,323.9119,1012118.35,499365.86,512752.5,0,1
56,316.5332,1000437.89,499365.86,501072.04,0,1
57,306.7783,984995.93,499365.86,485630.07,0,1
58,306.153,984006.06,499365.86,484640.2,0,1
59,304.2771,981036.45,499365.86,481670.59,0,1
60,293.6468,964208.66,499365.86,464842.81,0,1
61,286.7683,953320.1,499365.86,453954.24,0,1
62,280.0149,942629.5,499365.86,443263.65,0,1
63,269.5097,925999.69,499365.86,426633.84,0,1
64,263.2566,916101.0,499365.86,416735.14,0,1
65,246.2481,889176.54,499365.86,389810.68,0,1
66,266.6332,921446.29,499365.86,422080.43,1,1
67,256.2531,905014.45,499365.86,405648.6,1,1
68,268.8844,925009.82,499365.86,425643.97,1,1
69,277.1385,938076.1,499365.86,438710.25,1,1
70,279.0144,941045.71,499365.86,441679.85,1,1
71,276.3881,936888.26,499365.86,437522.4,1,1
72,266.7583,921644.27,499365.86,422278.41,1,1
73,273.0114,931542.96,499365.86,432177.11,1,1
74,272.8864,931344.99,499365.86,431979.13,1,1
75,274.2621,933522.7,499365.86,434156.84,1,1
76,282.7663,946984.93,499365.86,447619.07,1,1
77,284.7673,950152.51,499365.86,450786.66,1,1
78,284.2671,949360.62,499365.86,449994.76,1,1
79,280.14,942827.48,499365.86,443461.62,1,1
80,279.3896,941639.63,499365.86,442273.78,0,1
81,284.0169,948964.67,499365.86,449598.81,0,1
82,287.5187,954507.94,499365.86,455142.08,0,1
83,286.2681,952528.2,499365.86,453162.34,0,1
84,305.6527,983214.16,499365.86,483848.3,1,1
85,305.0274,982224.29,499365.86,482858.43,1,1
86,296.3981,968564.09,499365.86,469198.23,1,1
87,293.5217,964010.69,499365.86,464644.83,1,1
88,296.3981,968564.09,499365.86,469198.23,1,1
89,294.8974,966188.4,499365.86,466822.54,1,1
90,297.7738,970741.8,499365.86,471375.95,1,1
91,296.6482,968960.04,499365.86,469594.18,1,1
92,299.5247,973513.44,499365.86,474147.58,1,1
93,304.0269,980640.5,499365.86,481274.64,1,1
94,295.2726,966782.32,499365.86,467416.47,1,1
95,296.148,968168.14,499365.86,468802.28,1,1
96,295.2726,966782.32,499365.86,467416.47,1,1
97,297.2736,969949.91,499365.86,470584.05,1,1
98,297.8989,970939.78,499365.86,471573.92,1,1
99,300.6502,975295.2,499365.86,475929.35,1,1
100,296.0229,967970.17,499365.86,468604.31,1,1
101,296.0229,967970.17,499365.86,468604.31,1,1
102,293.5217,964010.69,499365.86,464644.83,1,1
103,297.3986,970147.88,499365.86,470782.02,1,1
104,291.0204,960051.21,499365.86,460685.35,1,1
105,292.2711,962030.95,499365.86,462665.09,1,1
106,293.3966,963812.71,499365.86,464446.86,1,1
107,297.1485,969751.93,499365.86,470386.08,1,1
108,292.6462,962624.87,499365.86,463259.01,1,1
109,291.5207,960843.1,499365.86,461477.25,1,1
110,295.6477,967376.24,499365.86,468010.39,1,1
111,296.7733,969158.01,499365.86,469792.15,1,1
112,295.0224,966386.38,499365.86,467020.52,1,1
113,291.7708,961239.05,499365.86,461873.2,1,1
114,295.3976,966980.3,499365.86,467614.44,1,1
115,296.7733,969158.01,499365.86,469792.15,1,1
116,300.4001,974899.25,499365.86,475533.4,1,1
117,305.6527,983214.16,499365.86,483848.3,1,1
118,310.9054,991529.07,499365.86,492163.21,1,1
119,317.6587,1002219.66,499365.86,502853.8,1,1
120,317.9089,1002615.61,499365.86,503249.75,1,1
121,321.9109,1008950.77,499365.86,509584.92,1,1
122,321.7858,1008752.8,499365.86,509386.94,1,1
123,315.6577,999052.07,499365.86,499686.22,1,1
124,311.4056,992320.96,499365.86,492955.1,1,1
