Date,V,O,H,L,C,KD-FK,KD-K,KD-D,MACD-DIF,MACD-DEF,MACD-Bar,SMA-10,SMA-20,SMA-60,VWMA-10,VWMA-20,VWMA-60,STD-10,STD-20,STD-60,VIX-10,VIX-20,VIX-60,CVOL-7,CVOL-14,CVOL-28,R-V,R-O,R-H,R-L,R-C,R-KD-FK,R-KD-K,R-KD-D,R-MACD-DIF,R-MACD-DEF,R-MACD-Bar,R-SMA-10,R-SMA-20,R-SMA-60,R-VWMA-10,R-VWMA-20,R-VWMA-60,R-STD-10,R-STD-20,R-STD-60,R-VIX-10,R-VIX-20,R-VIX-60,R-CVOL-7,R-CVOL-14,R-CVOL-28
2016-04-15,651000,28.1,28.15,27.75,27.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-18,1003229,28.0,28.75,27.75,28.15,,,,,,,,,,,,,,,,,,,,,,154.1058,0.9009,3.6036,0.0,1.4414,,,,,,,,,,,,,,,,,,,,,
2016-04-19,3671404,28.2,29.4,28.2,28.85,,,,,,,,,,,,,,,,,,,,,,365.9587,0.1776,4.4405,0.1776,2.4867,,,,,,,,,,,,,,,,,,,,,
2016-04-20,1000020,28.7,28.85,28.0,28.15,,,,,,,,,,,,,,,,,,,,,,27.2381,-0.5199,0.0,-2.9463,-2.4263,,,,,,,,,,,,,,,,,,,,,
2016-04-21,920500,28.5,28.8,28.2,28.3,,,,,,,,,,,,,,,,,,,,,,92.0482,1.2433,2.3091,0.1776,0.5329,,,,,,,,,,,,,,,,,,,,,
2016-04-22,1105256,28.25,28.45,27.0,27.25,,,,,,,,,,,,,,,,,,,,,,120.0713,-0.1767,0.53,-4.5936,-3.7102,,,,,,,,,,,,,,,,,,,,,
2016-04-25,737085,27.3,27.6,26.65,27.25,,,,,,,,,,,,,,,,,,,,,,66.6891,0.1835,1.2844,-2.2018,0.0,,,,,,,,,,,,,,,,,,,,,
2016-04-26,483000,27.2,27.5,27.0,27.15,,,,,,,,,,,,,,,,,,,,,,65.5284,-0.1835,0.9174,-0.9174,-0.367,,,,,,,,,,,,,,,,,,,,,
2016-04-27,576161,27.2,27.3,26.75,26.8,5.4545,35.1515,45.0505,,,,,,,,,,,,,,,,,,,119.288,0.1842,0.5525,-1.4733,-1.2891,,,,,,,,,,,,,,,,,,,,,
2016-04-28,1052565,26.8,26.95,25.75,26.0,6.8493,25.7174,38.6061,,,,27.565,,,27.9979,,,0.8377,,,,,,,,,182.6859,0.0,0.5597,-3.9179,-2.9851,25.5716,-26.8383,-14.3047,,,,,,,,,,,,,,,,,,
2016-04-29,1343990,25.75,25.8,25.05,25.2,3.4483,18.2944,31.8356,,,,27.31,,,27.7285,,,1.1167,,,29.614,,,,,,127.6871,-0.9615,-0.7692,-3.6539,-3.0769,-49.6545,-28.8638,-17.5376,,,,-0.9251,,,-0.9621,,,33.3148,,,,,,,,
2016-05-03,1123209,25.2,25.3,24.05,24.8,15.625,17.4046,27.0252,,,,26.975,,,27.4351,,,1.3206,,,27.6033,,,,,,83.5727,0.0,0.3968,-4.5635,-1.5873,353.119,-4.8638,-15.1099,,,,-1.2267,,,-1.0582,,,18.2563,,,-6.7899,,,,,
2016-05-04,782300,24.9,24.9,24.1,24.4,7.3684,14.0592,22.7032,,,,26.53,,,26.5912,,,1.3675,,,20.1316,,,,,,69.6487,0.4032,0.4032,-2.8226,-1.6129,-52.842,-19.2213,-15.9925,,,,-1.6497,,,-3.0758,,,3.5516,,,-27.0681,,,,,
2016-05-05,960487,24.2,25.3,24.05,25.0,21.5909,16.5698,20.6587,,,,26.215,,,26.2131,,,1.3147,,,25.46,,,7.4611,,,122.7773,-0.8197,3.6885,-1.4344,2.459,193.0188,17.8571,-9.0053,,,,-1.1873,,,-1.422,,,-3.8646,,,26.4678,,,,,
2016-05-06,651600,24.8,25.0,24.3,24.95,25.3522,19.4972,20.2716,,,,25.88,,,25.8615,,,1.1395,,,24.6131,,,12.4452,,,67.8406,-0.8,0.0,-2.8,-0.2,17.4205,17.6675,-1.8741,,,,-1.2779,,,-1.3412,,,-13.3249,,,-3.3264,,,66.8009,,
2016-05-09,464175,25.0,25.2,24.5,24.5,13.0435,17.346,19.2964,,,,25.605,,,25.5596,,,1.1034,,,22.5264,,,15.1653,,,71.2362,0.2004,1.002,-1.8036,-1.8036,-48.5507,-11.0336,-4.8107,,,,-1.0626,,,-1.1674,,,-3.1682,,,-8.4777,,,21.8563,,
2016-05-10,454301,24.5,24.85,24.4,24.55,15.3846,16.6922,18.4283,,,,25.335,,,25.3419,,,0.9795,,,22.8024,,,-11.8592,,,97.8728,0.0,1.4286,-0.4082,0.2041,17.9485,-3.7691,-4.4986,,,,-1.0545,,,-0.8516,,,-11.2258,,,1.2249,,,-178.1999,,
2016-05-11,4771802,24.8,24.8,22.1,22.1,0.0,11.1281,15.9949,,,,24.83,,,24.3146,,,1.2136,,,38.8884,,,49.2511,,,1050.3613,1.0183,1.0183,-9.9796,-9.9796,-100.0,-33.3333,-13.2047,,,,-1.9933,,,-4.0539,,,23.8993,,,70.5457,,,-515.297,,
2016-05-12,2229958,22.0,22.55,21.1,21.2,2.1277,8.128,13.3726,,,,24.27,,,23.7816,,,1.4688,,,43.0425,,,38.1744,,,46.732,-0.4525,2.0362,-4.5249,-4.0724,inf,-26.9601,-16.3947,,,,-2.2553,,,-2.1921,,,21.0246,,,10.6819,,,-22.4903,,
2016-05-13,2629485,21.3,21.3,19.7,20.15,8.0357,8.0972,11.6141,,,,23.685,25.625,,23.0728,25.3863,,1.825,2.4232,,46.2364,,,51.8591,,,117.9163,0.4717,0.4717,-7.0755,-4.9528,277.674,-0.3785,-13.1497,,,,-2.4104,,,-2.9804,,,24.2515,,,7.4205,,,35.8479,,
2016-05-16,1465600,20.15,20.15,19.3,19.9,10.0,8.7315,10.6533,,,,23.155,25.2325,,22.5828,25.0816,,2.0869,2.6827,,46.0234,39.4945,,25.3932,,,55.7372,0.0,0.0,-4.2184,-1.2407,24.4449,7.8331,-8.2734,,,,-2.2377,-1.5317,,-2.1238,-1.2001,,14.3527,10.711,,-0.4608,,,-51.0343,,
