iteration,avg_price,cash_and_stock,cash,stock_value,action,position
118,36.8934,1265873.82,499265.08,766608.74,1,1
119,36.018,1247683.1,499265.08,748418.02,1,1
120,35.0925,1228452.92,499265.08,729187.84,1,1
121,35.1926,1230531.86,499265.08,731266.78,1,1
122,35.0175,1226893.71,499265.08,727628.63,1,1
123,35.9805,1246903.5,499265.08,747638.42,1,1
124,36.1431,1250281.78,499265.08,751016.7,1,1
125,36.7434,1262755.41,499265.08,763490.33,1,1
126,36.8059,1264054.75,499265.08,764789.67,1,1
127,36.5558,1258857.4,499265.08,759592.32,1,1
128,37.4687,1277827.72,499265.08,778562.64,1,1
129,37.0185,1268472.49,499265.08,769207.41,1,1
130,37.944,1287702.68,499265.08,788437.6,1,1
131,37.6563,1281725.73,499265.08,782460.65,1,1
132,36.7559,1263015.28,499265.08,763750.2,1,1
133,37.4937,1278347.45,499265.08,779082.37,1,1
134,39.007,1309791.4,499265.08,810526.32,1,1
135,40.6703,1344353.76,499265.08,845088.68,1,1
136,40.5453,1341755.09,499265.08,842490.01,1,1
137,41.4207,1359945.81,499265.08,860680.73,1,1
138,42.096,1373978.64,499265.08,874713.56,1,1
139,46.5983,1467530.9,499265.08,968265.82,1,1
140,47.7614,1491698.56,499265.08,992433.48,1,1
141,52.2886,1585770.55,499265.08,1086505.47,1,1
142,54.077,1622931.58,499265.08,1123666.5,1,1
143,52.9765,1600063.25,499265.08,1100798.17,1,1
144,53.5267,1611497.42,499265.08,1112232.34,1,1
145,50.8754,1556405.54,499265.08,1057140.46,1,1
146,50.0625,1539514.16,499265.08,1040249.08,1,1
147,50.8004,1554846.33,499265.08,1055581.25,1,1
148,52.026,1580313.33,499265.08,1081048.25,1,1
149,51.8009,1575635.72,499265.08,1076370.64,1,1
150,51.8509,1576675.19,499265.08,1077410.11,1,1
151,51.0255,1559523.94,499265.08,1060258.86,1,1
152,54.9775,1641642.03,499265.08,1142376.95,1,1
153,55.8279,1659313.01,499265.08,1160047.93,1,1
154,55.4527,1651516.99,499265.08,1152251.91,1,1
155,54.7274,1636444.69,499265.08,1137179.61,1,1
156,55.3026,1648398.58,499265.08,1149133.5,1,1
157,57.8539,1701411.53,499265.08,1202146.45,1,1
158,57.7288,1698812.85,499265.08,1199547.77,1,1
159,57.9039,1702451.0,499265.08,1203185.92,1,1
160,57.6788,1697773.39,499265.08,1198508.3,1,1
