iteration,avg_price,cash_and_stock,cash,stock_value,action,position
0,0.0,1000000.0,1000000.0,0.0,0,0
1,41.3957,999249.91,499272.8,499977.11,1,1
2,40.7329,991244.23,499272.8,491971.44,1,1
3,40.8829,993056.84,499272.8,493784.04,1,1
4,41.0205,994718.39,499272.8,495445.6,1,1
5,41.008,994567.34,499272.8,495294.55,1,1
6,40.4577,987921.12,499272.8,488648.33,1,1
7,40.8204,992301.59,499272.8,493028.79,1,1
8,40.6203,989884.78,499272.8,490611.98,1,1
9,40.1951,984749.06,499272.8,485476.27,1,1
10,39.0695,971154.52,499272.8,471881.72,1,1
11,36.8809,944720.68,499272.8,445447.89,1,1
12,37.9064,957106.82,499272.8,457834.03,1,1
13,37.6813,954387.91,499272.8,455115.12,1,1
14,37.7689,955445.27,499272.8,456172.47,1,1
15,37.0935,947288.54,499272.8,448015.75,1,1
16,37.1686,948194.84,499272.8,448922.05,1,1
17,36.6808,942303.88,499272.8,443031.08,1,1
18,36.6308,941699.67,499272.8,442426.88,1,1
19,36.8809,944720.68,499272.8,445447.89,1,1
20,35.7929,931579.29,499272.8,432306.5,1,1
21,35.9305,933240.85,499272.8,433968.05,1,1
22,36.2181,936715.01,499272.8,437442.21,1,1
23,35.968,933694.0,499272.8,434421.2,1,1
24,35.8804,932636.64,499272.8,433363.85,1,1
25,35.6428,929766.69,499272.8,430493.89,1,1
26,35.8679,932485.59,499272.8,433212.8,1,1
27,35.9305,933240.85,499272.8,433968.05,1,1
28,37.056,946835.39,499272.8,447562.59,1,1
29,36.9059,945022.78,499272.8,445749.99,1,1
30,37.4687,951820.06,499272.8,452547.26,1,1
31,37.7689,955445.27,499272.8,456172.47,1,1
32,39.1946,972665.02,499272.8,473392.23,1,1
33,39.007,970399.27,499272.8,471126.47,1,1
34,38.9945,970248.22,499272.8,470975.42,1,1
35,38.119,959674.68,499272.8,460401.89,1,1
36,37.9064,957106.82,499272.8,457834.03,1,1
37,37.6063,953481.61,499272.8,454208.82,1,1
38,38.0065,958315.23,499272.8,459042.43,1,1
39,37.7063,954690.02,499272.8,455417.22,1,1
40,37.8439,956351.57,499272.8,457078.78,1,1
41,37.5938,953330.56,499272.8,454057.77,1,1
42,38.8069,967982.46,499272.8,468709.66,1,1
43,38.6818,966471.95,499272.8,467199.16,1,1
44,38.5192,964508.3,499272.8,465235.5,1,1
45,38.1441,959976.78,499272.8,460703.99,1,1
46,38.0065,958315.23,499272.8,459042.43,1,1
47,37.6938,954538.97,499272.8,455266.17,1,1
48,37.2936,949705.35,499272.8,450432.55,1,1
49,37.2936,949705.35,499272.8,450432.55,1,1
50,36.8934,944871.73,499272.8,445598.94,1,1
51,35.9555,933542.95,499272.8,434270.15,1,1
52,35.7178,930672.99,499272.8,431400.19,1,1
53,35.2676,925235.17,499272.8,425962.37,1,1
54,33.7669,907109.11,499272.8,407836.32,1,1
55,33.7919,907411.21,499272.8,408138.42,1,1
56,33.7419,906807.01,499272.8,407534.22,1,1
57,33.7794,907260.16,499272.8,407987.37,1,1
58,33.3667,902275.5,499272.8,403002.7,1,1
59,33.2166,900462.89,499272.8,401190.09,1,1
60,32.8789,896384.53,499272.8,397111.73,1,1
61,34.1921,912244.83,499272.8,412972.03,1,1
62,34.0545,910583.27,499272.8,411310.48,1,1
63,33.917,908921.72,499272.8,409648.92,1,1
64,33.8544,908166.47,499272.8,408893.67,1,1
65,33.4417,903181.8,499272.8,403909.0,1,1
66,33.2541,900916.04,499272.8,401643.25,1,1
67,32.041,886264.14,499272.8,386991.35,1,1
68,30.928,872820.65,499272.8,373547.86,1,1
69,31.1906,875992.71,499272.8,376719.92,1,1
70,31.0155,873878.0,499272.8,374605.21,1,1
71,31.078,874633.26,499272.8,375360.46,1,1
72,30.953,873122.75,499272.8,373849.96,1,1
73,33.3417,901973.4,499272.8,402700.6,1,1
74,33.9795,909676.97,499272.8,410404.17,1,1
75,33.2791,901218.14,499272.8,401945.35,1,1
76,33.2041,900311.84,499272.8,401039.04,1,1
77,33.3292,901822.34,499272.8,402549.55,1,1
78,33.4167,902879.7,499272.8,403606.9,1,1
79,34.7424,918891.05,499272.8,419618.25,1,1
80,35.7178,930672.99,499272.8,431400.19,1,1
81,35.3427,926141.47,499272.8,426868.68,1,1
82,35.4552,927500.93,499272.8,428228.13,1,1
83,35.8929,932787.69,499272.8,433514.9,1,1
84,35.2051,924479.92,499272.8,425207.12,1,1
85,34.7674,919193.15,499272.8,419920.36,1,1
86,34.5798,916927.39,499272.8,417654.6,1,1
87,34.6298,917531.6,499272.8,418258.8,1,1
88,35.918,933089.8,499272.8,433817.0,1,1
89,35.4552,927500.93,499272.8,428228.13,1,1
90,34.8174,919797.35,499272.8,420524.56,1,1
91,34.6923,918286.85,499272.8,419014.05,1,1
92,34.3922,914661.64,499272.8,415388.84,1,1
93,34.4047,914812.69,499272.8,415539.89,1,1
94,34.6798,918135.8,499272.8,418863.0,1,1
95,34.6048,917229.49,499272.8,417956.7,1,1
96,34.3672,914359.54,499272.8,415086.74,1,1
97,34.2546,913000.08,499272.8,413727.29,1,1
98,33.7919,907411.21,499272.8,408138.42,1,1
99,34.1421,911640.63,499272.8,412367.83,1,1
100,33.917,908921.72,499272.8,409648.92,1,1
101,33.8044,907562.26,499272.8,408289.47,1,1
102,33.8544,908166.47,499272.8,408893.67,1,1
103,34.2671,913151.13,499272.8,413878.34,1,1
104,34.0295,910281.17,499272.8,411008.38,1,1
105,33.5042,903937.05,499272.8,404664.26,1,1
106,33.4667,903483.9,499272.8,404211.1,1,1
107,33.5418,904390.2,499272.8,405117.41,1,1
108,34.1296,911489.58,499272.8,412216.78,1,1
109,34.4422,915265.84,499272.8,415993.04,1,1
110,34.0045,909979.07,499272.8,410706.28,1,1
111,33.9295,909072.77,499272.8,409799.97,1,1
112,34.117,911338.53,499272.8,412065.73,1,1
113,34.0795,910885.37,499272.8,411612.58,1,1
114,33.8169,907713.31,499272.8,408440.52,1,1
115,33.4167,902879.7,499272.8,403606.9,1,1
116,33.7919,907411.21,499272.8,408138.42,1,1
117,33.3667,902275.5,499272.8,403002.7,1,1
118,33.2666,901067.09,499272.8,401794.3,1,1
